便り (たより)	news	bubble	cotton plant 	blanket
泡 (あわ)	bubble	cotton plant 	blanket	middle of the night
わた (綿)	cotton plant 	blanket	middle of the night	merchant
毛布 (もうふ)	blanket	middle of the night	merchant	rainy season 
夜中 (よなか)	middle of the night	merchant	rainy season 	light
商人 (しょうにん)	merchant	rainy season 	light	space
梅雨 (つゆ)	rainy season 	light	space	learning
明かり (あかり)	light	space	learning	will
空き (あき)	space	learning	will	to cross over 
学 (がく)	learning	will	to cross over 	monkey 
意志 (いし)	will	to cross over 	monkey 	patience
越す (こす)	to cross over 	monkey 	patience	to remove
さる (猿)	monkey 	patience	to remove	to doubt
我慢 (がまん)	patience	to remove	to doubt	service
外す (はずす)	to remove	to doubt	service	coincidence
疑う (うたがう)	to doubt	service	coincidence	to represent
勤め (つとめ)	service	coincidence	to represent	to mind
偶然 (ぐうぜん)	coincidence	to represent	to mind	lawn
表す (あらわす)	to represent	to mind	lawn	hindrance
構う (かまう)	to mind	lawn	hindrance	therefore
