신맛	酸味	報社	報紙	牧師
신문사	報社	報紙	牧師	身份
신문지	報紙	牧師	身份	神秘
신부	牧師	神父	身份證	申請
신분	身份	神秘	紳士	新產品
신비	神秘	紳士	新產品	身世，境遇
신사	紳士	新產品	身世，境遇	新一代
신상품	新產品	身世，境遇	新一代	信仰
신세	身世，境遇	新一代	信仰	信用
신세대	新一代	信仰	信用	新人
신앙	信仰	信用	新人	大一新生
신용	信用	新人	大一新生	新產品
신입	新人	大一新生	新產品	審慎
신입생	大一新生	新產品	審慎	申請書
신제품	新產品	審慎	申請書	身體
신중	審慎	申請書	身體	新婚
신청서	申請書	身體	新婚	新婚夫婦
신체	身體	新婚	新婚夫婦	神話
신체적	身體的	有用	心理	歷史的
신혼	新婚	新婚夫婦	神話	線
신혼부부	新婚夫婦	神話	線	真實感
신화	神話	線	真實感	裡面
실	線	真實感	裡面	技能
실감	真實感	裡面	技能	實例
실내	裡面	技能	實例	失望
실력	技能	實例	失望	實習
실례	實例	犯錯	失敗	大麥
실리다	裝	撒	包住	疊
실망	失望	實習	實踐	失業
실습	實習	實踐	失業	室長
실시	實踐	失業	室長	失踪
실업	失業	室長	失踪	實施
실용적	有用	心理	歷史的	藝術的
실은	實際上	事實上	狠狠地	甚至
실장	室長	失踪	實施	實體
실제	真實發生	昨天	今天	剛
실제로	事實上	狠狠地	甚至	非常好
실종	失踪	實施	實體	實驗
실천	實施	實體	實驗	實現
실체	實體	實驗	實現	疲勞
