가까이	靠近	有時	結局	這些
가꾸다	裝飾	栽培	關	落下
가꾸다	栽培	栽培	關	落下
가난	窮困	有錢	可能	可能性
가난하다	窮困	可能	平凡	富有
가능	可能	可能性	不行	路燈
가능성	可能性	可能	路燈	粉末
가능하다	可能	路燈	粉末	旱災
가두다	關	落下	阻擋	切
가득하다	滿滿	癢	懇切的	很少
가득히	滿滿地	暫時	傲慢	偷偷地
가라앉다	落下	阻擋	切	遮住
가렵다	癢	懇切的	痛	簡便
가로	橫向	各自	前天	明天
가로등	路燈	粉末	旱災	歌詞
가로막다	阻擋	切	遮住	辨別
가루	粉末	旱災	歌詞	瓦斯
가르다	切	遮住	辨別	靜靜地
가리다	遮住	辨別	靜靜地	帶來
가리다	辨別	辨別	靜靜地	帶來
가만	暫時	傲慢	偷偷地	艱辛
가만있다	靜靜地	帶來	被關	換（繃帶）
가만하다	傲慢	偷偷地	艱辛	越來越
가만히	偷偷地	艱辛	越來越	斗膽
가뭄	旱災	歌詞	瓦斯	瓦斯爐
가사	歌詞	瓦斯	瓦斯爐	加濕器
가스	瓦斯	瓦斯爐	加濕器	加入
가스레인지	瓦斯爐	加濕器	加入	加入者
가습기	加濕器	加入	加入者	家長
가입	加入	加入者	家長	家電產品
가입자	加入者	家長	家電產品	家庭
가장	家長	簡單地	突然	一起
가전제품	家電產品	家庭	假設	家庭主婦
가정	家庭	假設	家庭主婦	皮
가정	假設	假設	家庭主婦	皮
가정주부	家庭主婦	皮	樹汁	假
가져다주다	帶來	被關	換（繃帶）	裂開
가죽	皮	樹汁	假	價值
가지	樹汁	假	價值	價值觀
가짜	假	價值	價值觀	天主教
가치	價值	價值觀	天主教	各國
가치관	價值觀	天主教	各國	覺悟
가톨릭	天主教	各國	覺悟	各種
각	每個	四	二	別的
각국	各國	覺悟	各種	味道
각오	覺悟	各種	味道	肝
각자	各自	前天	明天	大部份
각종	各種	味道	肝	間隔
간	味道	肝	間隔	干涉
간	肝	肝	間隔	干涉
간	間	肝	間隔	干涉
간격	間隔	干涉	掛招牌	看護
간섭	干涉	掛招牌	看護	矛盾
간신히	艱辛	越來越	斗膽	顛倒
간절하다	懇切的	癢	簡便	突然
간접적	間接的	感動的	個人的	客觀的
간지럽다	癢	簡便	突然	便宜的
간판	掛招牌	看護	矛盾	口渴
간편하다	簡便	突然	便宜的	粗糙
간호	看護	矛盾	口渴	感覺
간혹	有時	結局	這些	後天
갇히다	被關	換（繃帶）	裂開	包
갈다	換（繃帶）	裂開	包	捂著
갈등	矛盾	口渴	感覺	監督
갈라지다	裂開	包	捂著	隱藏
갈수록	越來越	斗膽	顛倒	僅僅
갈증	口渴	感覺	監督	感動
감각	感覺	監督	感動	欣賞
감다	包	染	拿錢	還
감독	監督	感動	欣賞	感想文
감동	感動	欣賞	感想文	減少
감동적	感動的	個人的	客觀的	經濟的
감상	欣賞	感想文	減少	監視
감상문	感想文	減少	監視	監獄
감소	減少	監視	監獄	感情
감시	監視	監獄	感情	強盜
감싸다	捂著	隱藏	配備	晴
감옥	監獄	感情	強盜	江水
감정	感情	強盜	江水	講師
감추다	隱藏	配備	晴	折
감히	斗膽	顛倒	僅僅	絕對
갑작스럽다	突然	便宜的	粗糙	擔心
값싸다	便宜的	粗糙	擔心	黑色的
강도	強盜	江水	講師	降水量
강물	江水	講師	降水量	要求
강사	講師	降水量	要求	講課
강수량	降水量	要求	講課	教室
강요	要求	講課	教室	強制
강의	講課	教室	強制	強調
강의실	教室	強制	強調	各種
강제	強制	強調	各種	青蛙
강조	強調	各種	青蛙	迎春花
갖가지	各種	青蛙	迎春花	概念
갖추다	配備	晴	折	收
개구리	青蛙	迎春花	概念	螞蟻
개나리	迎春花	概念	螞蟻	開發
개념	概念	螞蟻	開發	開放
개다	晴	折	收	幫忙
개다	折	折	收	幫忙
개미	螞蟻	開發	開放	個別
개발	開發	開放	個別	改善
개방	開放	個別	改善	個性
개별	個別	改善	個性	個人
개선	改善	個性	個人	舉辦
개성	個性	個人	舉辦	改革
개인	個人	舉辦	改革	巨大
개인적	個人的	客觀的	經濟的	經濟學
개최	舉辦	改革	巨大	買賣
개혁	改革	巨大	買賣	交易方
객관적	客觀的	經濟的	經濟學	功績
걔	這小孩（그 아이) 的略語	即便如此	이 아이 的縮語	該怎麼辦
거꾸로	顛倒	僅僅	絕對	馬上
거대	巨大	買賣	交易方	蜘蛛
