편식	偏食	方便	評價	評估
편의	方便	評價	評估	平均
편히	安逸	但	一起	總是
펼쳐지다	寬敞	翻開	盛	鬆
펼치다	翻開	盛	鬆	被解開
평	評價	評估	平均	平等
평가	評估	平均	平等	平常
평균	平均	平等	平常	平生
평등	平等	平常	平生	和平
평범하다	普通的	平和	柔軟	寬的
평상시	平常	平生	和平	廢除
평생	平生	和平	廢除	放棄
평화	和平	廢除	放棄	葡萄酒
평화롭다	平和	柔軟	寬的	豐富
폐지	廢除	放棄	葡萄酒	包裝紙
포근하다	柔軟	寬的	豐富	雪白的
포기	放棄	葡萄酒	包裝紙	叉子
포도주	葡萄酒	包裝紙	叉子	包含
포장지	包裝紙	叉子	包含	暴力
포크	叉子	包含	暴力	爆炸
포함	包含	暴力	爆炸	暴雪
폭넓다	寬的	豐富	雪白的	空閒
폭력	暴力	爆炸	暴雪	傾盆大雨
폭발	爆炸	暴雪	傾盆大雨	瀑布
폭설	暴雪	傾盆大雨	瀑布	圖表
폭우	傾盆大雨	瀑布	圖表	表面
폭포	瀑布	圖表	表面	標記
표	圖表	風景	平底鍋	法國
표면	表面	標記	表情開朗	標準
표시	標記	表情開朗	標準	標準語
표정	表情開朗	標準	標準語	書皮
표준	標準	標準語	書皮	標誌
표준어	標準語	書皮	標誌	表達
표지	書皮	標誌	表達	膠水
표지판	標誌	表達	膠水	草
표현	表達	膠水	草	幅度
푸다	盛	鬆	被解開	抱
풀	膠水	草	幅度	質量
풀	草	草	幅度	質量
풀리다	鬆	被解開	抱	發出
