miller	磨坊主;碾磨工	模仿;與...極相似	小型的;小規模的	使減到最少(或最小);低估
mimic	模仿;與...極相似	小型的;小規模的	使減到最少(或最小);低估	神奇的;奇蹟般的
miniature	小型的;小規模的	使減到最少(或最小);低估	神奇的;奇蹟般的	惡作劇的;淘氣的
minimize	使減到最少(或最小);低估	神奇的;奇蹟般的	惡作劇的;淘氣的	傳教的;教會的;傳教士的
miraculous	神奇的;奇蹟般的	惡作劇的;淘氣的	傳教的;教會的;傳教士的	動員;調動
mischievous	惡作劇的;淘氣的	傳教的;教會的;傳教士的	動員;調動	現代化;現代化的事物
missionary	傳教的;教會的;傳教士的	動員;調動	現代化;現代化的事物	鑄造;塑造;發霉
mobilize	動員;調動	現代化;現代化的事物	鑄造;塑造;發霉	動量;氣勢;動力
modernization	現代化;現代化的事物	鑄造;塑造;發霉	動量;氣勢;動力	獨佔;專賣;壟斷
mold	鑄造;塑造;發霉	動量;氣勢;動力	獨佔;專賣;壟斷	單調的;無變化的
momentum	動量;氣勢;動力	獨佔;專賣;壟斷	單調的;無變化的	單調;千篇一律
monopoly	獨佔;專賣;壟斷	單調的;無變化的	單調;千篇一律	士氣;鬥志;道德
monotonous	單調的;無變化的	單調;千篇一律	士氣;鬥志;道德	道德;倫理;寓意
monotony	單調;千篇一律	士氣;鬥志;道德	道德;倫理;寓意	座右銘;格言
morale	士氣;鬥志;道德	道德;倫理;寓意	座右銘;格言	憂傷的;悲切的
morality	道德;倫理;寓意	座右銘;格言	憂傷的;悲切的	樂器的吹口;電話的送話口;代言人
motto	座右銘;格言	憂傷的;悲切的	樂器的吹口;電話的送話口;代言人	樂器的吹口;電話的送話口;代言人
mournful	憂傷的;悲切的	樂器的吹口;電話的送話口;代言人	樂器的吹口;電話的送話口;代言人	市的
mouthpiece	樂器的吹口;電話的送話口;代言人	樂器的吹口;電話的送話口;代言人	市的	沈默的;啞的
mouthpiece	樂器的吹口;電話的送話口;代言人	市的	沈默的;啞的	(總稱)神話
municipal	市的	沈默的;啞的	(總稱)神話	講(故事);敘述;作旁白
mute	沈默的;啞的	(總稱)神話	講(故事);敘述;作旁白	敘事的;故事形式的
mythology	(總稱)神話	講(故事);敘述;作旁白	敘事的;故事形式的	解說員;敘述者
narrate	講(故事);敘述;作旁白	敘事的;故事形式的	解說員;敘述者	民族主義;國家主義
narrative	敘事的;故事形式的	解說員;敘述者	民族主義;國家主義	博物學家
narrator	解說員;敘述者	民族主義;國家主義	博物學家	海軍的
nationalism	民族主義;國家主義	博物學家	海軍的	肚臍
naturalist	博物學家	海軍的	肚臍	航海;航空;導航
naval	海軍的	肚臍	航海;航空;導航	談判,協商
navel	肚臍	航海;航空;導航	談判,協商	氖;霓虹燈
navigation	航海;航空;導航	談判,協商	氖;霓虹燈	中立的;中立國的;空檔的
negotiation	談判,協商	氖;霓虹燈	中立的;中立國的;空檔的	新結婚的人
neon	氖;霓虹燈	中立的;中立國的;空檔的	新結婚的人	新聞廣播員
neutral	中立的;中立國的;空檔的	新結婚的人	新聞廣播員	提名;任命
newlywed	新結婚的人	新聞廣播員	提名;任命	被提名人
newscaster/anchorman/	新聞廣播員	提名;任命	被提名人	基準;規範;定額
nomination	提名;任命	被提名人	基準;規範;定額	惡名昭彰的
nominee	被提名人	基準;規範;定額	惡名昭彰的	養育;滋養
norm	基準;規範;定額	惡名昭彰的	養育;滋養	討厭的人(或事物);騷擾行為
notorious	惡名昭彰的	養育;滋養	討厭的人(或事物);騷擾行為	養育;培育
