pathetic	可憐的	愛國的	掌上電腦	沿街叫賣
patriotic	愛國的	掌上電腦	沿街叫賣	徒步的;行人的
PDA/personaldigital	掌上電腦	沿街叫賣	徒步的;行人的	半島
peddle	沿街叫賣	徒步的;行人的	半島	發給...退休金(或養老金等)
pedestrian	徒步的;行人的	半島	發給...退休金(或養老金等)	感知;察覺;認知
peninsula	半島	發給...退休金(或養老金等)	感知;察覺;認知	堅持不懈;堅忍不拔
pension	發給...退休金(或養老金等)	感知;察覺;認知	堅持不懈;堅忍不拔	堅持不懈;不屈不撓
perception	感知;察覺;認知	堅持不懈;堅忍不拔	堅持不懈;不屈不撓	堅持;固執;持續
perseverance	堅持不懈;堅忍不拔	堅持不懈;不屈不撓	堅持;固執;持續	堅持不懈的;固執的;持續的
persevere	堅持不懈;不屈不撓	堅持;固執;持續	堅持不懈的;固執的;持續的	透視的,透視畫的
persistence	堅持;固執;持續	堅持不懈的;固執的;持續的	透視的,透視畫的	殺蟲劑
persistent	堅持不懈的;固執的;持續的	透視的,透視畫的	殺蟲劑	石油
perspective	透視的,透視畫的	殺蟲劑	石油	小的;瑣碎的;氣量小的
pesticide	殺蟲劑	石油	小的;瑣碎的;氣量小的	配藥者;藥劑師
petroleum	石油	小的;瑣碎的;氣量小的	配藥者;藥劑師	製藥業;藥房
petty	小的;瑣碎的;氣量小的	配藥者;藥劑師	製藥業;藥房	使定相;使同步;分階段實行
pharmacist	配藥者;藥劑師	製藥業;藥房	使定相;使同步;分階段實行	攝影(術)的;攝影用的
pharmacy	製藥業;藥房	使定相;使同步;分階段實行	攝影(術)的;攝影用的	圖畫般的;美麗的
phase	使定相;使同步;分階段實行	攝影(術)的;攝影用的	圖畫般的;美麗的	刺穿;穿透
photographic	攝影(術)的;攝影用的	圖畫般的;美麗的	刺穿;穿透	虔誠;孝順
picturesque	圖畫般的;美麗的	刺穿;穿透	虔誠;孝順	虔誠的;篤信的
pierce	刺穿;穿透	虔誠;孝順	虔誠的;篤信的	導管;輸油管
piety	虔誠;孝順	虔誠的;篤信的	導管;輸油管	投手
pious	虔誠的;篤信的	導管;輸油管	投手	境況;困境
pipeline	導管;輸油管	投手	境況;困境	肺炎
pitcher	投手	境況;困境	肺炎	水煮
plight	境況;困境	肺炎	水煮	煮蛋用的鍋;蒸鍋;偷獵者
pneumonia	肺炎	水煮	煮蛋用的鍋;蒸鍋;偷獵者	受污染的;造成污染的
poach	水煮	煮蛋用的鍋;蒸鍋;偷獵者	受污染的;造成污染的	仔細考慮;衡量;回想
poacher	煮蛋用的鍋;蒸鍋;偷獵者	受污染的;造成污染的	仔細考慮;衡量;回想	居住於;移民於
pollutant	受污染的;造成污染的	仔細考慮;衡量;回想	居住於;移民於	擺出姿勢
ponder	仔細考慮;衡量;回想	居住於;移民於	擺出姿勢	在～之前
populate	居住於;移民於	擺出姿勢	在～之前	先例
posture	擺出姿勢	在～之前	先例	精確(性);準確(性);清晰(性)
precede	在～之前	先例	精確(性);準確(性);清晰(性)	前任;祖先
precedent	先例	精確(性);準確(性);清晰(性)	前任;祖先	預言;預報
precision	精確(性);準確(性);清晰(性)	前任;祖先	預言;預報	為...加序言(或開場白)
predecessor	前任;祖先	預言;預報	為...加序言(或開場白)	使抱偏見;使懷成見
prediction	預言;預報	為...加序言(或開場白)	使抱偏見;使懷成見	預備的;初步的
preface	為...加序言(或開場白)	使抱偏見;使懷成見	預備的;初步的	過早的;草率的;早產的
