[席不]暇暖	形容奔走極為忙碌，沒有休息的時候。
[奄奄]一息	形容生命已到了最後時刻。
[玩世]不恭	以不莊重、不嚴謹的生活態度待人處事。
[街談]巷議	大街小巷中的談說議論。
[顧名]思義	比喻看到名稱，就聯想到它的含義。
[馬耳]東風	比喻充耳不聞、無動於衷。
[歡欣]鼓舞	歡樂振奮的樣子。
[面紅]耳赤	形容人因緊張、焦急、害羞等而滿臉發紅的樣子。
[閉月]羞花	形容女子容貌十分姣好。
[唯唯]諾諾	比喻順從而無所違逆。貶義。
[欲速]不達	想要求快，反而不能達到目的[前事不忘，後事之師]	記取過去的經驗教訓，可作為今後行事的鑑鏡。。
[懲前]毖後	以從前的過失為教訓，戒慎自己不再犯錯。
[五日]京兆	比喻任職時間不久。＆比喻沒有長遠打算。
[無可]奈何	毫無辦法或沒有辦法可想。
[改弦]更張	比喻改革變更，重新做起。
[少見]多怪	譏諷人見識不廣，遇平常之事亦以為驚怪。
[知難]而退	作戰時遇形勢不利則行退兵。＆指行事遇到困難退縮不前或應伺機退卻。
[始作]俑者	比喻首創惡例的人。
[撥亂]反正	扭轉亂象，歸於正道[醉翁之意不在酒]	比喻別有用心。。
[精衛]填海	比喻意志堅定，不懼艱苦。
