[九牛]一毛	比喻極大數量中的一小部分。
[滄海]遺珠	比喻被埋沒的人才或珍貴事物。
[鐵面]無私	公正嚴明而不偏私。褒義。
[望眼]欲穿	形容盼望極其深切。
[笑容]可掬	形容笑容滿面的樣子。
[揮金]如土	比喻極端浪費錢財。
[爐火]純青	比喻學問、技術、功夫等到達精純完美的境地。褒義。
[魚目]混珠	比喻以假亂真。
[嗤之]以鼻	指用鼻子哼氣譏笑某一人事物以表示不屑、鄙視。
[駕輕]就熟	比喻對事情很熟悉，做起來很輕鬆。
[鴉雀]無聲	形容非常寂靜。
[舉棋]不定	拿著棋子，不能決定下一步怎樣下。＆比喻做事猶豫不決，拿不定主意。
[痛定]思痛	事後追思當時所遭之痛苦，也不知如何處理，而更加傷心。＆比喻吸取慘痛教訓，警惕未來。
[黔驢]技窮	比喻人拙劣的技能已經用完，再也無計可施了。
[孜孜]不倦	指勤勉而不知疲倦。
[急流]勇退	在湍急的水勢中，當機立斷，回舟退出。＆比喻人處於得意順遂時及時隱退。
[赴湯]蹈火	比喻奮不顧身，不避艱險。
[生吞]活剝	比喻做學問或學習某事，只一味襲用他人的經驗或成果，而不求甚解。貶義。＆不加烹煮而生食。
[暴虎]馮河	比喻人有勇而無謀。貶義。
[喋喋]不休	形容話多，沒完沒了。
