[滿城]風雨	形容到處颳風下雨的景象。＆指事情一經傳出，便流言四起，到處議論紛紛。
[燃眉]之急	形容事態嚴重，情況危急。
[言不]由衷	心口不一，虛應敷衍。
[敝帚]自珍	比喻東西雖不好，卻因為是自己所擁有，故非常珍視。
[兔死]狗烹	比喻事成之後，有功之人即遭到殺戮或見棄的命運。
[拋磚]引玉	比喻自己先發表粗陋的詩文或不成熟的意見，以引出別人的佳作或高論。多用作自謙之詞。＆比喻以身作則，引發眾人響應。
[門庭]若市	比喻上門來的人很多。
[不倫]不類	形容事物不成體統。貶義。
[虎頭]蛇尾	比喻做事有始無終。貶義。
[空中]樓閣	比喻虛構的事物或不切實際的幻想。
[天經]地義	天地間原本如此而不容改變的道理。
[殺身]成仁	指為正義或崇高的理想而犧牲生命。
[心猿]意馬	心意反覆不定。＆心思不專注集中。
[一視]同仁	指平等待人，不分親疏厚薄。
[雪中]送炭	比喻在人艱困危急之時，給予適時的援助。
[甘拜]下風	表示自認不如，由衷佩服。
[無地]自容	形容羞愧至極。
[群策]群力	聚合眾人的智慧和能力。
[過河]拆橋	比喻不念舊情，忘恩負義。貶義。
[有備]無患	事先有準備，即可免除後患。
