壯志[凌雲]	形容志氣高遠。
眼高[手低]	比喻要求標準高，而實行能力低。貶義。
圖窮[匕見]	比喻事情發展到最後，形跡敗露，現出真相。
名正[言順]	指所做的事正當而合理，不容置疑。
光怪[陸離]	形容現象離奇怪異，色彩參差錯雜。
兢兢[業業]	形容戒慎恐懼，認真負責的樣子。
金科[玉律]	形容完善嚴密的法律條文或比喻不可變更的信條。
各自[為政]	各依自己的主張行事，不顧全整體。
瓦釜[雷鳴]	比喻平庸無才德的人卻居於顯赫的高位。＆比喻拙劣的文章卻風行於世。
通權[達變]	指不墨守常規，根據實際情況作適當的處置。
望穿[秋水]	形容殷切盼望。
高抬[貴手]	請求寬容饒恕的客套話。
移花[接木]	比喻暗中使用手段，以假換真，欺騙他人。
不可[一世]	指人驕橫自大，目空一切，以為他人無與倫比。貶義。
柳暗[花明]	形容綠柳成蔭，繁花似錦的美景。＆比喻在曲折艱辛之後，忽然絕處逢生，另有一番情景。
引經[據典]	引用經書典籍等做為說話、作文的依據。
有條[不紊]	指條理分明，有次序而不雜亂。褒義。
汗馬[功勞]	指征戰的功勞，亦泛指一般的功勞。
如願[以償]	心願得以實現。
脫穎[而出]	比喻顯露才能，超越眾人。
