不共[戴天]	比喻仇恨極深。
滿腹[經綸]	形容才識豐富，具有處理大事的才能。
飲鴆[止渴]	比喻只求解決眼前困難，而不顧將來更大的禍患。貶義。
退避[三舍]	比喻主動退讓，不與人相爭。
世外[桃源]	比喻風景優美而人跡罕至的地方。＆比喻心目中理想的世界。
剛愎[自用]	形容性情倔強，固執己見。貶義。
出爾[反爾]	你怎麼對待別人，別人也會怎麼待你。＆比喻人的言行前後反覆，自相矛盾。貶義。
目不[識丁]	比喻不識字。
水深[火熱]	比喻處境非常艱困、痛苦。
假公[濟私]	假借公家的名義以謀取個人的私利。
孤掌[難鳴]	比喻人孤立無助，不能成事。
偃旗[息鼓]	軍隊放倒旌旗，停止戰鼓。形容不露行蹤。＆比喻事情中斷或聲勢減弱。
妄自[尊大]	狂妄地自尊自大。貶義。
百折[不撓]	意志剛強，即使受到許多挫折，仍不屈服。
拾人[牙慧]	比喻蹈襲他人的言論或主張。貶義。
耳濡[目染]	經常聽到、看到而深受影響。
得心[應手]	比喻技藝熟練，運用自如。＆比喻做事順利。
乘風[破浪]	順著風，破浪前進。＆比喻人志向遠大，不畏艱難，奮勇前進。
杯水[車薪]	比喻力量太小，無濟於事。
車載[斗量]	形容數量很多，不可勝數。
