海誓[山盟]	誓言盟約如山海般堅固持久，永恆不變。
仁至[義盡]	形容對他人盡最大的努力關懷照顧。
悲天[憫人]	憂傷時局多變，哀憐百姓疾苦。
面面[俱到]	形容各方面都照顧到。
借刀[殺人]	比喻假他人之手去害人。
不見[經傳]	比喻沒有名氣。＆比喻缺乏根據，沒有來歷。
半斤[八兩]	比喻彼此相當，不相上下。
浮光[掠影]	比喻見識粗淺，不夠仔細深入。＆比喻文章或言論的內容膚淺空泛。＆形容印象不深刻。
無所[事事]	形容閒蕩無事的樣子。
無的[放矢]	比喻言語或行動沒有目的。＆比喻毫無事實根據而胡亂的指責、攻擊別人。
猶豫[不決]	遲疑不定，無法拿定主意。
美不[勝收]	形容美好的事物太多，無法盡收眼底。
絕無[僅有]	形容極為稀少。
山高[水長]	比喻人品高潔，垂範久遠。＆比喻情誼或恩德深厚。＆形容山水景色秀麗。
另眼[相看]	以特別的眼光或態度相待，以示重視或歧視。
秋毫[無犯]	比喻對任何東西都不侵犯、不取用。
小家[碧玉]	指平常人家年輕貌美的 少女。
世態[炎涼]	比喻世俗情態反覆無常。
隔岸[觀火]	比喻事不干己，袖手旁觀，漠不關心。
雷霆[萬鈞]	比喻威力強大，勢不可擋。
