nurse	護士	可以的;不錯的;很好的	點	海洋
O.K./OK/okay	可以的;不錯的;很好的	點	海洋	十月
o’clock	點	海洋	十月	～的
ocean	海洋	十月	～的	離去的;偏離的;休假的;關著的
October/Oct.	十月	～的	離去的;偏離的;休假的;關著的	辦公室
of	～的	離去的;偏離的;休假的;關著的	辦公室	軍官;官員
off	離去的;偏離的;休假的;關著的	辦公室	軍官;官員	常常
office	辦公室	軍官;官員	常常	油
officer	軍官;官員	常常	油	年老的
often	常常	油	年老的	繼續;向前;開著;;在進行中
oil	油	年老的	繼續;向前;開著;;在進行中	一旦
old	年老的	繼續;向前;開著;;在進行中	一旦	一個
on	繼續;向前;開著;;在進行中	一旦	一個	只,僅僅,才;不料;反而
once	一旦	一個	只,僅僅,才;不料;反而	營業的
one	一個	只,僅僅,才;不料;反而	營業的	或
only	只,僅僅,才;不料;反而	營業的	或	橙色
open	營業的	或	橙色	點菜;訂購
or	或	橙色	點菜;訂購	其他的
orange	橙色	點菜;訂購	其他的	我們的
order	點菜;訂購	其他的	我們的	在外的
other	其他的	我們的	在外的	外面的
our	我們的	在外的	外面的	在上方;越過;過分,太;再一次
out	在外的	外面的	在上方;越過;過分,太;再一次	自己的
outside	外面的	在上方;越過;過分,太;再一次	自己的	頁
over	在上方;越過;過分,太;再一次	自己的	頁	繪畫
own	自己的	頁	繪畫	成對,配對
page	頁	繪畫	成對,配對	褲子
paint	繪畫	成對,配對	褲子	爸爸
pair	成對,配對	褲子	爸爸	用紙包;掩蓋,粉飾
pants/trousers	褲子	爸爸	用紙包;掩蓋,粉飾	雙親之一
papa/pop	爸爸	用紙包;掩蓋,粉飾	雙親之一	公園
paper	用紙包;掩蓋,粉飾	雙親之一	公園	部分
parent	雙親之一	公園	部分	派對
park 	公園	部分	派對	及格
part 	部分	派對	及格	過去的
party	派對	及格	過去的	ment)
pass	及格	過去的	ment)	寫;寫作;囚禁
past 	過去的	ment)	寫;寫作;囚禁	筆
pay 	ment)	寫;寫作;囚禁	筆	人們
pen	寫;寫作;囚禁	筆	人們	或許
