鳥居 (とりい)	torii	intuition	sinking	exhibition
直感 (ちょっかん)	intuition	sinking	exhibition	to expel
沈没 (ちんぼつ)	sinking	exhibition	to expel	bank
陳列 (ちんれつ)	exhibition	to expel	bank	to become settled
追い出す (おいだす)	to expel	bank	to become settled	to decide
堤防 (ていぼう)	bank	to become settled	to decide	set meal
定まる (さだまる)	to become settled	to decide	set meal	mansion
定める (さだめる)	to decide	set meal	mansion	drop 
定食 (ていしょく)	set meal	mansion	drop 	suitable
邸宅 (ていたく)	mansion	drop 	suitable	aptitude
滴 (しずく)	drop 	suitable	aptitude	natural calamity
適宜 (てきぎ)	suitable	aptitude	natural calamity	moving
適性 (てきせい)	aptitude	natural calamity	moving	ignition
天災 (てんさい)	natural calamity	moving	ignition	electric line
転居 (てんきょ)	moving	ignition	electric line	to wager
点火 (てんか)	ignition	electric line	to wager	en route
電線 (でんせん)	electric line	to wager	en route	to stop
賭ける (かける)	to wager	en route	to stop	embankment
途上 (とじょう)	en route	to stop	embankment	hibernation
途絶える (とだえる)	to stop	embankment	hibernation	aim
土手 (どて)	embankment	hibernation	aim	the person concerned
冬眠 (とうみん)	hibernation	aim	the person concerned	pipe
当て (あて)	aim	the person concerned	pipe	by no means
当人 (とうにん)	the person concerned	pipe	by no means	to run away
筒 (つつ)	pipe	by no means	to run away	to escape
とうてい (到底)	by no means	to run away	to escape	flight
逃げ出す (にげだす)	to run away	to escape	flight	porcelain 
逃れる (のがれる)	to escape	flight	porcelain 	power
逃走 (とうそう)	flight	porcelain 	power	the same
陶器 (とうき)	porcelain 	power	the same	agreement
動力 (どうりょく)	power	the same	agreement	sympathy
同 (どう)	the same	agreement	sympathy	equality
同感 (どうかん)	agreement	sympathy	equality	enclosing 
同調 (どうちょう)	sympathy	equality	enclosing 	yearning
同等 (どうとう)	equality	enclosing 	yearning	trunk
同封 (どうふう)	enclosing 	yearning	trunk	dojo 
憧れ (あこがれ)	yearning	trunk	dojo 	special skill
胴 (どう)	trunk	dojo 	special skill	suddenly
道場 (どうじょう)	dojo 	special skill	suddenly	thickheaded
特技 (とくぎ)	special skill	suddenly	thickheaded	internal organs
